Z,symbol,block,group,period,mendeleev_number,IE1_eV,polarizability_A3,electronegativity_pauling,atomic_radius_pm,ionic_radius_common_pm,valence_electrons,unpaired_electrons,kappa_xi_e,kappa_xi_n,kappa_xi_mag,kappa_xi_bond,kappa_xi_shell
2,He,s,18,1,1,24.587,0.205,0.0,31,,2,0,0.17942,31.0,0.0,0.0,2.0
3,Li,s,1,2,10,5.392,24.3,0.98,152,76,1,1,0.039347,152.0,1.0,0.98,1.0
4,Be,s,2,2,17,9.323,5.6,1.57,112,45,2,0,0.068033,112.0,0.0,1.57,2.0
5,B,p,13,2,72,8.298,3.03,2.04,85,27,3,1,0.060553,85.0,1.0,2.04,3.0
6,C,p,14,2,77,11.26,1.76,2.55,77,16,4,2,0.082168,77.0,2.0,2.55,4.0
7,N,p,15,2,82,14.534,1.1,3.04,75,13,5,3,0.10606,75.0,3.0,3.04,5.0
8,O,p,16,2,87,13.618,0.8,3.44,73,140,6,2,0.099375,73.0,2.0,3.44,6.0
9,F,p,17,2,92,17.423,0.56,3.98,71,133,7,1,0.127142,71.0,1.0,3.98,7.0
10,Ne,p,18,2,2,21.565,0.4,0.0,69,,8,0,0.157367,69.0,0.0,0.0,8.0
11,Na,s,1,3,11,5.139,24.11,0.93,186,102,1,1,0.037501,186.0,1.0,0.93,1.0
12,Mg,s,2,3,18,7.646,10.6,1.31,160,72,2,0,0.055796,160.0,0.0,1.31,2.0
13,Al,p,13,3,73,5.986,6.8,1.61,143,54,3,1,0.043682,143.0,1.0,1.61,3.0
14,Si,p,14,3,78,8.152,5.38,1.9,117,40,4,2,0.059488,117.0,2.0,1.9,4.0
15,P,p,15,3,83,10.487,3.63,2.19,110,38,5,3,0.076527,110.0,3.0,2.19,5.0
16,S,p,16,3,88,10.36,2.9,2.58,104,184,6,2,0.075601,104.0,2.0,2.58,6.0
17,Cl,p,17,3,93,12.968,2.18,3.16,99,181,7,1,0.094632,99.0,1.0,3.16,7.0
18,Ar,p,18,3,3,15.76,1.64,0.0,97,,8,0,0.115006,97.0,0.0,0.0,8.0
19,K,s,1,4,12,4.341,43.4,0.82,227,138,1,1,0.031678,227.0,1.0,0.82,1.0
20,Ca,s,2,4,19,6.113,22.8,1.0,197,100,2,0,0.044609,197.0,0.0,1.0,2.0
21,Sc,d,3,4,48,6.561,17.8,1.36,162,75,3,1,0.047878,162.0,1.0,1.36,3.0
22,Ti,d,4,4,51,6.828,14.6,1.54,147,61,4,2,0.049826,147.0,2.0,1.54,4.0
23,V,d,5,4,54,6.746,12.4,1.63,134,64,5,3,0.049228,134.0,3.0,1.63,5.0
24,Cr,d,6,4,57,6.767,11.6,1.66,128,62,6,5,0.049381,128.0,5.0,1.66,6.0
25,Mn,d,7,4,60,7.434,9.4,1.55,127,67,7,5,0.054249,127.0,5.0,1.55,7.0
26,Fe,d,8,4,61,7.902,8.4,1.83,126,65,8,4,0.057664,126.0,4.0,1.83,8.0
27,Co,d,9,4,64,7.881,7.5,1.88,125,65,9,3,0.05751,125.0,3.0,1.88,9.0
28,Ni,d,10,4,67,7.64,6.8,1.91,124,69,10,2,0.055752,124.0,2.0,1.91,10.0
29,Cu,d,11,4,70,7.726,6.1,1.9,128,73,11,1,0.056379,128.0,1.0,1.9,11.0
30,Zn,d,12,4,76,9.394,5.75,1.65,134,74,12,0,0.068551,134.0,0.0,1.65,12.0
31,Ga,p,13,4,74,5.999,8.12,1.81,122,62,3,1,0.043777,122.0,1.0,1.81,3.0
32,Ge,p,14,4,79,7.9,5.84,2.01,122,53,4,2,0.057649,122.0,2.0,2.01,4.0
33,As,p,15,4,84,9.789,4.31,2.18,121,58,5,3,0.071434,121.0,3.0,2.18,5.0
34,Se,p,16,4,89,9.752,3.77,2.55,117,198,6,2,0.071164,117.0,2.0,2.55,6.0
35,Br,p,17,4,94,11.814,3.05,2.96,114,196,7,1,0.086211,114.0,1.0,2.96,7.0
36,Kr,p,18,4,4,14.0,2.48,0.0,110,,8,0,0.102163,110.0,0.0,0.0,8.0
37,Rb,s,1,5,13,4.177,47.3,0.82,248,152,1,1,0.030481,248.0,1.0,0.82,1.0
38,Sr,s,2,5,20,5.695,27.6,0.95,215,118,2,0,0.041558,215.0,0.0,0.95,2.0
39,Y,d,3,5,49,6.217,22.7,1.22,180,90,3,1,0.045368,180.0,1.0,1.22,3.0
40,Zr,d,4,5,52,6.634,17.9,1.33,160,72,4,0,0.048411,160.0,0.0,1.33,4.0
41,Nb,d,5,5,55,6.759,15.7,1.6,146,64,5,0,0.049323,146.0,0.0,1.6,5.0
42,Mo,d,6,5,58,7.092,12.8,2.16,139,59,6,0,0.051753,139.0,0.0,2.16,6.0
43,Tc,d,7,5,62,7.28,11.4,1.9,136,56,7,3,0.053125,136.0,3.0,1.9,7.0
44,Ru,d,8,5,65,7.361,9.6,2.2,134,62,8,4,0.053716,134.0,4.0,2.2,8.0
45,Rh,d,9,5,68,7.459,8.6,2.28,134,60,9,3,0.054431,134.0,3.0,2.28,9.0
46,Pd,d,10,5,69,8.337,4.8,2.2,137,86,10,0,0.060838,137.0,0.0,2.2,10.0
47,Ag,d,11,5,71,7.576,7.2,1.93,144,115,11,0,0.055285,144.0,0.0,1.93,11.0
48,Cd,d,12,5,75,8.994,7.36,1.69,151,95,12,0,0.065632,151.0,0.0,1.69,12.0
49,In,p,13,5,75,5.786,10.2,1.78,167,80,3,0,0.042222,167.0,0.0,1.78,3.0
50,Sn,p,14,5,80,7.344,7.7,1.96,140,69,4,0,0.053592,140.0,0.0,1.96,4.0
51,Sb,p,15,5,85,8.608,6.6,2.05,141,76,5,2,0.062816,141.0,2.0,2.05,5.0
52,Te,p,16,5,90,9.01,5.5,2.1,137,221,6,2,0.065749,137.0,2.0,2.1,6.0
53,I,p,17,5,95,10.451,5.35,2.66,133,220,7,1,0.076265,133.0,1.0,2.66,7.0
54,Xe,p,18,5,5,12.13,4.04,0.0,130,,8,0,0.088517,130.0,0.0,0.0,8.0
55,Cs,s,1,6,14,3.894,59.6,0.79,265,167,1,1,0.028416,265.0,1.0,0.79,1.0
56,Ba,s,2,6,21,5.212,39.7,0.89,222,135,2,0,0.038034,222.0,0.0,0.89,2.0
57,La,f,3,6,50,5.577,31.1,1.1,187,103,3,0,0.040697,187.0,0.0,1.1,3.0
58,Ce,f,19,6,30,5.539,29.6,1.12,182,101,3,1,0.04042,182.0,1.0,1.12,3.0
59,Pr,f,19,6,31,5.464,28.2,1.13,182,99,3,2,0.039873,182.0,2.0,1.13,3.0
60,Nd,f,19,6,32,5.525,31.4,1.14,181,98,3,3,0.040318,181.0,3.0,1.14,3.0
61,Pm,f,19,6,33,5.582,30.1,1.13,183,97,3,4,0.040734,183.0,4.0,1.13,3.0
62,Sm,f,19,6,34,5.644,28.8,1.17,180,96,3,5,0.041186,180.0,5.0,1.17,3.0
63,Eu,f,19,6,35,5.67,27.7,1.2,199,95,3,6,0.041376,199.0,6.0,1.2,3.0
64,Gd,f,19,6,36,6.15,23.5,1.2,179,94,3,7,0.044879,179.0,7.0,1.2,3.0
65,Tb,f,19,6,37,5.864,25.5,1.2,176,92,3,6,0.042792,176.0,6.0,1.2,3.0
66,Dy,f,19,6,38,5.939,24.5,1.22,175,91,3,5,0.043339,175.0,5.0,1.22,3.0
67,Ho,f,19,6,39,6.022,23.6,1.23,174,90,3,4,0.043945,174.0,4.0,1.23,3.0
68,Er,f,19,6,40,6.108,22.7,1.24,173,89,3,3,0.044572,173.0,3.0,1.24,3.0
69,Tm,f,19,6,41,6.184,21.8,1.25,172,88,3,2,0.045127,172.0,2.0,1.25,3.0
70,Yb,f,19,6,42,6.254,20.9,1.1,194,87,3,1,0.045638,194.0,1.0,1.1,3.0
71,Lu,f,3,6,43,5.426,21.9,1.27,172,86,3,0,0.039595,172.0,0.0,1.27,3.0
72,Hf,d,4,6,53,6.825,16.2,1.3,159,71,4,0,0.049804,159.0,0.0,1.3,4.0
73,Ta,d,5,6,56,7.55,13.1,1.5,146,64,5,0,0.055095,146.0,0.0,1.5,5.0
74,W,d,6,6,59,7.864,11.1,2.36,139,60,6,0,0.057386,139.0,0.0,2.36,6.0
75,Re,d,7,6,63,7.834,9.7,1.9,137,53,7,3,0.057167,137.0,3.0,1.9,7.0
76,Os,d,8,6,66,8.438,8.5,2.2,135,63,8,4,0.061575,135.0,4.0,2.2,8.0
77,Ir,d,9,6,101,8.967,7.6,2.2,136,68,9,3,0.065435,136.0,3.0,2.2,9.0
78,Pt,d,10,6,102,8.959,6.5,2.28,139,80,10,0,0.065377,139.0,0.0,2.28,10.0
79,Au,d,11,6,103,9.226,5.8,2.54,144,85,11,0,0.067325,144.0,0.0,2.54,11.0
80,Hg,d,12,6,74,10.438,5.0,2.0,151,102,12,0,0.07617,151.0,0.0,2.0,12.0
81,Tl,p,13,6,76,6.108,7.6,1.62,170,89,3,0,0.044572,170.0,0.0,1.62,3.0
82,Pb,p,14,6,81,7.417,6.8,2.33,175,119,4,0,0.054124,175.0,0.0,2.33,4.0
83,Bi,p,15,6,86,7.286,7.4,2.02,156,103,5,2,0.053169,156.0,2.0,2.02,5.0
