pair_id,source,predicted,accepted_set,same_group,delta_ionic_radius_pm,axis_of_max_disagreement,candidate_pool_size
p01,Pt,Ir,Pd,0,18.0,kappa_xi_mag,28
p03,Rh,Ru,Pd|Pt,0,18.0,kappa_xi_mag,28
p05,Ir,Pt,Ru,0,18.0,kappa_xi_mag,28
p06,Ru,Rh,Ir,1,8.0,kappa_xi_mag,28
p08,Pr,Pm,Nd,1,1.0,kappa_xi_mag,14
p09,Dy,Ho,Tb,1,2.0,kappa_xi_mag,14
p10,Tb,Gd,Dy,1,3.0,kappa_xi_e,14
p11,Sm,Pm,Nd,1,1.0,kappa_xi_bond,14
p12,Eu,Sm,Tb,1,4.0,kappa_xi_n,14
p15,Ce,Pm,La,0,6.0,kappa_xi_mag,14
p16,Co,Fe,Ni,0,4.0,kappa_xi_mag,28
p17,Co,Fe,Ni|Mn,0,2.0,kappa_xi_mag,28
p18,Ni,Cu,Co,0,8.0,kappa_xi_mag,28
p21,Nb,Ti,Ta,0,3.0,kappa_xi_mag,28
p24,Mo,Tc,W,0,4.0,kappa_xi_mag,28
p25,Re,Tc,W|Mo,0,3.0,kappa_xi_e,28
p26,In,Tl,Ga,1,27.0,kappa_xi_bond,26
p27,Ga,Al,In,1,26.0,kappa_xi_n,26
p30,Ga,Ge,Al,0,1.0,kappa_xi_mag,26
p31,V,Ti,Nb,0,3.0,kappa_xi_n,28
p32,V,Tc,Cr,0,6.0,kappa_xi_shell,28
p33,Cr,Mn,V,0,3.0,kappa_xi_e,28
p43,Sn,In,Bi,0,23.0,kappa_xi_n,26
p44,Te,Sb,Se,0,122.0,kappa_xi_shell,26
p45,Se,S,Te,1,37.0,kappa_xi_n,26
p46,Ag,Hg,Cu,0,29.0,kappa_xi_e,28
p47,Au,Pt,Pd,1,6.0,kappa_xi_bond,28
p51,Gd,Tb,Dy,1,1.0,kappa_xi_e,14
p52,Er,Tm,Yb,1,1.0,kappa_xi_mag,14
p53,Yb,La,Er,0,14.0,kappa_xi_e,14
p56,Os,Ru,Ir,0,6.0,kappa_xi_e,28
p58,Mn,Cr,Fe,0,3.0,kappa_xi_e,28
p59,K,Rb,Na,1,50.0,kappa_xi_n,10
