method,fresh_top1_mean,fresh_top1_std,fresh_boot_lo,fresh_boot_hi,fresh_top3_mean,fresh_nearhit_mean,dev_top1_mean
kappa_full,0.3256,0.1505,0.1977,0.4591,0.6022,0.8614,0.5180
kappa_nogate,0.3256,0.1505,0.1977,0.4591,0.6022,0.8614,0.5567
kappa_5D,0.3172,0.1333,0.1818,0.4545,0.6119,0.9092,0.5109
kappa_2D,0.0681,0.0840,0.0000,0.1591,0.3858,0.6372,0.3031
B0_same_group,0.3192,0.1668,0.1818,0.4545,0.6594,0.9089,0.3393
B1_mendeleev,0.2958,0.1603,0.1591,0.4318,0.6814,0.9086,0.3009
B2_electronegativity,0.1822,0.1237,0.0682,0.2955,0.4772,0.7275,0.1895
B3_IE,0.2264,0.1152,0.1136,0.3636,0.4317,0.6817,0.1893
B4_radius,0.0681,0.0677,0.0000,0.1591,0.4081,0.7053,0.2082
B5_multifeature,0.2950,0.1277,0.1591,0.4318,0.6586,0.8867,0.4542
B5_star,0.2947,0.1216,0.1591,0.4318,0.6353,0.9092,0.5296
N1_random_coords,0.0228,0.0456,0.0000,0.0682,0.2272,0.6147,0.0745
N2_random_pick,0.0456,0.0714,0.0250,0.0682,0.1644,0.6286,0.0600
